"basin","BFI","Q.mm_y","Q90.mm_d","Q10.mm_d","FDC.slope","flow.winter","flow.summer","class.Q.kmeans"
5412500,0.61,294,0.1776,1.6995,4.42,0.018,0.039,5
5413500,0.78,244,0.3168,1.0279,3.72,0.027,0.037,1
5414000,0.76,264,0.3033,1.1606,3.68,0.025,0.039,1
5444000,0.67,278,0.2473,1.3469,4.04,0.03,0.036,1
5454000,0.44,269,0.0128,1.5809,5.12,0.023,0.04,5
5458000,0.5,263,0.085,1.5416,5.35,0.015,0.042,5
5466500,0.51,277,0.0616,1.7729,5.04,0.028,0.034,1
5487980,0.26,249,0.0103,1.3743,7.11,0.016,0.039,3
5489000,0.26,245,0.0106,1.1429,6.31,0.016,0.04,3
5495000,0.23,275,0.01,1.5893,7.48,0.027,0.032,3
5495500,0.2,266,0.0057,1.4037,7.64,0.03,0.028,3
5501000,0.22,287,0.0106,1.4414,6.91,0.033,0.024,3
5503800,0.12,269,0,1.0452,8.15,0.03,0.03,3
5507600,0.1,250,2e-04,0.8167,8.22,0.037,0.027,3
5508805,0.2,256,0.0042,1.0635,7.31,0.037,0.022,3
5514500,0.21,276,0.0071,1.4637,7.44,0.035,0.022,3
5525500,0.38,342,0.0296,2.3431,6.19,0.037,0.025,2
5556500,0.48,291,0.0276,1.841,5.07,0.032,0.03,1
5584500,0.37,254,0.0173,1.6157,6.11,0.03,0.029,3
5585000,0.36,250,0.0226,1.8873,6.59,0.029,0.028,3
5591550,0.36,310,0,1.9369,5.22,0.042,0.018,2
5592050,0.3,299,0.0037,1.5893,6.65,0.042,0.016,2
5593575,0.13,333,0.0044,1.6812,8.38,0.043,0.016,3
5593900,0.18,293,0.0019,1.2486,7.18,0.043,0.015,2
5595730,0.13,351,0,1.4968,7.75,0.043,0.011,2
6191500,0.68,407,0.2641,3.0835,4.9,0.01,0.071,5
6224000,0.6,506,0.1009,4.1566,5.94,0.004,0.091,5
6278300,0.42,463,0.0912,3.4003,5.01,0.004,0.08,5
6280300,0.61,434,0.2157,3.5127,4.94,0.007,0.083,5
6289000,0.71,256,0.2805,1.5012,3.15,0.015,0.06,5
6311000,0.52,220,0.0762,1.6845,5.86,0.006,0.06,5
6332515,0.14,19,5e-04,0.0243,4.44,0.011,0.015,3
6339100,0.18,22,3e-04,0.0555,5.01,0.013,0.022,3
6339500,0.26,17,0.0013,0.0694,5.09,0.013,0.024,3
6344600,0.18,24,2e-04,0.0607,5.02,0.01,0.029,3
6350000,0.26,18,0.0026,0.0587,4.03,0.013,0.028,3
